Resource Title,Link
Generic lab equipment,http://www.gaudi.ch/GaudiLabs/?page_id=328
Scanning electron microscope ,http://benkrasnow.blogspot.de/2011/04/diy-scanning-electron-microscope-image.html
Prostheses I,http://www.openbionics.org/
Prostheses II,http://enablingthefuture.org/
Water quality-testing platform,http://www.appropedia.org/Open-source_mobile_water_quality_testing_platform
Appropedia,http://www.appropedia.org/
Hackaday,www.hackaday.io
Hackteria,http://hackteria.org/
BioHackacademy,https://github.com/BioHackAcademy
OSS Toolkit,https://channels.plos.org/open-source-toolkit
Openeuroscience,www.openeuroscience.com
Open Plant Science,http://openplant.science/
Journal of Open Hardware,http://openhardware.metajnl.com/
HardwareX,https://www.journals.elsevier.com/hardwarex
KitSpace,https://kitspace.org/
DocuBricks,https://www.docubricks.com/
Wevolver,https://www.wevolver.com/discover
Open Hardware Repository,https://www.ohwr.org/projects
